variant,label,aspirational_gender,aspiration_quantile,aspiration_profile,reserve_fraction,reproductive_window,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_unmatched_a_mean,late_unmatched_b_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_selection_quota_mean
symmetric_reserve_025,"Symmetric, reserve 25%",none,0.0,none,0.25,18-45,3,0.7582331695804964,0.6721311475409836,0.8677074774034511,0.7262263845842917,0.3032702222222223,0.3288623218249277,0.26804412855923837,0.03515853333333333,0.12249506666666667,0.8775049333333333,16.0
b_income_500_floor,B income floor 500+ proxy,B,0.55,fixed 0.55,0.25,18-45,3,0.6348169436414978,0.6156378600823045,0.6456628477905073,0.5907763276071473,0.28238755555555556,0.31037080960260993,0.2499848864418633,0.03923304444444444,0.11757428888888888,0.8824257222222224,16.0
b_income_700_floor,B income floor 700+ proxy,B,0.8,fixed 0.80,0.25,18-45,3,0.08647835309821682,0.06546644844517185,0.11193415637860082,0.08456308665842376,0.5184843333333333,0.46782330793338694,0.5495108269953476,0.027364188888888887,0.042456377777777776,0.9575436222222223,16.0
b_mixed_income_plus_light,"B mixed: 500+ base, light compound tail",B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25,18-45,3,0.43789638529855396,0.3360723089564503,0.5176663927691043,0.4129513514051442,0.31403615555555553,0.3388864011090589,0.27300423350828074,0.03730765555555556,0.08642014444444444,0.9131832888888889,16.0
b_mixed_income_plus_heavy,B mixed: compound-heavy tail,B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.25,18-45,3,0.22159828161509543,0.17588769611891,0.2933442892358258,0.22050269136584866,0.4084127222222222,0.41568906320352106,0.39081115035954905,0.03501391111111112,0.06532082222222223,0.9346791777777778,16.0
b_mixed_income_plus_heavy_reserve_050,"B compound-heavy, reserve 50%",B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.5,18-45,3,0.2649175220028403,0.20049301561216104,0.39194741166803615,0.2569595651655678,0.4116232555555555,0.3912189372937633,0.4256205762156018,0.03601711111111112,0.0802485,0.9197155111111112,16.0
b_mixed_income_plus_heavy_no_reserve,"B compound-heavy, no reserve",B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.0,18-45,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symmetric_reserve_025_repro_20_39,"Symmetric, reserve 25%, repro 20-39",none,0.0,none,0.25,20-39,3,0.14122370252260222,0.11238720262510254,0.16748768472906403,0.13985533908527326,0.35339210000000004,0.3719047256540544,0.3146420838095639,0.043454577777777774,0.03830532222222223,0.9499375333333333,15.822222222222223
b_income_500_floor_repro_20_39,"B income floor 500+ proxy, repro 20-39",B,0.55,fixed 0.55,0.25,20-39,3,0.06540777230432403,0.052545155993431854,0.08045977011494253,0.06540777230432403,0.48328185555555553,0.45354738670915146,0.4866771587927418,0.03166083333333334,0.019291766666666668,0.9584860111111112,15.644444444444446
b_mixed_income_plus_light_repro_20_39,"B mixed: light compound tail, repro 20-39",B,0.666,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0.25,20-39,3,0.043778558932677715,0.030654515327257662,0.058774834437086095,0.04323076380805433,0.5218749444444445,0.4685918710918712,0.5043474426807759,0.02676318888888889,0.017582444444444446,0.8379731111111112,13.688888888888888
b_mixed_income_plus_heavy_repro_20_39,"B mixed: compound-heavy tail, repro 20-39",B,0.766,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0.25,20-39,3,0.011314642671402572,0.0016433853738701725,0.019055509527754765,0.011314642671402572,0.4951852333333335,0.3925925925925926,0.4696296296296298,0.009537044444444446,0.004212955555555555,0.26141204444444444,4.266666666666667
